"collection_schema","uid","name","desc","date","colors","emoji"
"collection","12","Nederlands","","1749381055","0",
"packs_schema","uid","name","desc","date","colors","collection","emoji"
"packs","70","top 0010","","1749381077","0","12",
"packs","71","top 0025","","1749381077","0","12",
"packs","72","top 0050","","1749381077","0","12",
"packs","73","top 0100","","1749381077","0","12",
"packs","74","top 0250","","1749381077","0","12",
"packs","75","top 0500","","1749381077","0","12",
"packs","76","top 1000","","1749381077","0","12",
"packs","77","top 2500","","1749381077","0","12",
"packs","78","top 5000","","1749381077","0","12",
"cards","8131","omdat",".","73","0","1749381835","**omdat** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/omdat/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=omdat)","0"
"cards","8132","onder",".","73","0","1749381835","**onder** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/onder/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=onder)","0"
"cards","8133","ons",".","73","0","1749381835","**ons** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/ons/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=ons)","0"
"cards","8134","per",".","73","0","1749381835","**per** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/per/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=per)","0"
"cards","8135","staan",".","73","0","1749381835","**staan** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/staan/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=staan)","0"
"cards","8136","tegen",".","73","0","1749381835","**tegen** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/tegen/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=tegen)","0"
"cards","8137","tijd",".","73","0","1749381835","**tijd** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/tijd/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=tijd)","0"
"cards","8138","toch",".","73","0","1749381835","**toch** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/toch/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=toch)","0"
"cards","8139","toe",".","73","0","1749381835","**toe** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/toe/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=toe)","0"
"cards","8140","tussen",".","73","0","1749381835","**tussen** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/tussen/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=tussen)","0"
"cards","8141","twee",".","73","0","1749381835","**twee** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/twee/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=twee)","0"
"cards","8142","u",".","73","0","1749381835","**u** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/u/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=u)","0"
"cards","8143","veel",".","73","0","1749381835","**veel** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/veel/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=veel)","0"
